,Unnamed: 0,Artist,Lyrics_url,Song,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
0,0,maroon 5,https://genius.com/Maroon-5-animals-lyrics,animals,21,34,29,7,23,12,14,20,0,7
1,1,maroon 5,https://genius.com/Maroon-5-one-more-night-lyrics,one more night,0,0,0,0,0,0,0,0,0,0
2,2,sean paul,https://genius.com/Sean-paul-temperature-lyrics,temperature,29,42,13,12,10,15,10,17,0,19
3,3,drake,https://genius.com/Drake-headlines-lyrics,Headlines,22,18,15,19,5,9,13,14,16,18
4,4,junior boys,https://genius.com/Junior-boys-banana-ripple-lyrics,Banana Ripple,0,0,0,0,0,0,0,0,0,0
5,5,junior boys,https://genius.com/Junior-boys-caught-in-a-wave-lyrics,Caught In A Wave,0,0,0,0,0,0,0,0,0,0
6,6,junior boys,https://genius.com/Junior-boys-first-time-lyrics,First Time,0,0,0,0,0,0,0,0,0,0
7,7,beach house,https://genius.com/Beach-house-days-of-candy-lyrics,Days of Candy,3,0,1,3,0,0,3,0,1,2
8,8,beach house,https://genius.com/Beach-house-wild-lyrics,Wild,6,22,8,6,2,2,5,8,11,6
9,9,beach house,https://genius.com/Beach-house-10-37-lyrics,10:37,0,0,0,0,0,0,0,0,0,0
10,10,childish gambino,https://genius.com/Childish-gambino-sober-lyrics,Sober,6,8,7,3,7,8,3,8,2,2
11,11,childish gambino,https://genius.com/Childish-gambino-me-and-your-mama-lyrics,Me and Your Mama,18,2,0,5,0,3,16,2,0,5
12,12,childish gambino,https://genius.com/Childish-gambino-ii-zealots-of-stockholm-free-information-lyrics,II. Zealots of Stockholm [Free Information],0,0,0,0,0,0,0,0,0,0
13,13,future,https://genius.com/Future-mask-off-lyrics,Mask Off,0,0,0,0,0,0,0,0,0,0
14,14,future,https://genius.com/Drake-and-future-jumpman-lyrics,Jumpman,0,0,0,0,0,0,0,0,0,0
15,15,future,https://genius.com/Jay-rock-kendrick-lamar-future-and-james-blake-kings-dead-lyrics,King’s Dead,0,0,0,0,0,0,0,0,0,0
