,Artist,Lyrics_url,Song
0,drake,https://genius.com/Drake-headlines-lyrics,Headlines
1,junior boys,https://genius.com/Junior-boys-banana-ripple-lyrics,Banana Ripple
2,junior boys,https://genius.com/Junior-boys-caught-in-a-wave-lyrics,Caught In A Wave
3,junior boys,https://genius.com/Junior-boys-first-time-lyrics,First Time
4,beach house,https://genius.com/Beach-house-days-of-candy-lyrics,Days of Candy
5,beach house,https://genius.com/Beach-house-wild-lyrics,Wild
6,beach house,https://genius.com/Beach-house-10-37-lyrics,10:37
7,childish gambino,https://genius.com/Childish-gambino-sober-lyrics,Sober
8,childish gambino,https://genius.com/Childish-gambino-me-and-your-mama-lyrics,Me and Your Mama
9,childish gambino,https://genius.com/Childish-gambino-ii-zealots-of-stockholm-free-information-lyrics,II. Zealots of Stockholm [Free Information]
10,future,https://genius.com/Future-mask-off-lyrics,Mask Off
11,future,https://genius.com/Drake-and-future-jumpman-lyrics,Jumpman
12,future,https://genius.com/Jay-rock-kendrick-lamar-future-and-james-blake-kings-dead-lyrics,King’s Dead
13,omega,,
14,death grips,,
15,honey claws,,
16,the avalanches,,
17,modern folk üçlüsü,,
18,erkin koray,,
19,lil yachty,,
20,pnl,NaN,NaN
