,Artist,Lyrics_url,Song,Cleaned_Lyrics
0,maroon 5,https://genius.com/Maroon-5-animals-lyrics,animals,"[['baby', 'im', 'preying', 'tonight', 'hunt', 'eat', 'alive', 'like', 'animals', 'animals', 'like', 'animalsmals', 'maybe', 'think', 'hide', 'smell', 'scent', 'miles', 'like', 'animals', 'animals', 'like', 'animalsmals', 'baby', 'im', 'trying', 'like', 'cant', 'stop', 'enemies', 'get', 'along', 'im', 'inside', 'yeah', 'youre', 'like', 'drug', 'thats', 'killing', 'cut', 'entirely', 'get', 'high', 'im', 'inside', 'yeah', 'start', 'run', 'free', 'find', 'fish', 'sea', 'pretend', 'meant', 'cant', 'stay', 'away', 'still', 'hear', 'making', 'sound', 'taking', 'rolling', 'ground', 'pretend', 'oh', 'baby', 'im', 'preying', 'tonight', 'hunt', 'eat', 'alive', 'like', 'animals', 'animals', 'like', 'animalsmals', 'maybe', 'think', 'hide', 'smell', 'scent', 'miles', 'like', 'animals', 'animals', 'like', 'animalsmals', 'baby', 'im', 'run', 'enough', 'youre', 'still', 'head', 'forever', 'stuck', 'wan', 'na', 'yeah', 'love', 'lies', 'ill', 'eat', 'em', 'dont', 'deny', 'animal', 'comes', 'alive', 'im', 'inside', 'yeah', 'start', 'run', 'free', 'find', 'fish', 'sea', 'pretend', 'meant', 'cant', 'stay', 'away', 'still', 'hear', 'making', 'sound', 'taking', 'rolling', 'ground', 'pretend', 'oh', 'baby', 'im', 'preying', 'tonight', 'hunt', 'eat', 'alive', 'like', 'animals', 'animals', 'like', 'animalsmals', 'maybe', 'think', 'hide', 'smell', 'scent', 'miles', 'like', 'animals', 'animals', 'like', 'animalsmals', 'baby', 'im', 'dont', 'tell', 'lie', 'lie', 'lie', 'lie', 'cant', 'denynynyny', 'beast', 'inside', 'sisiside', 'yeah', 'yeah', 'yeah', 'girl', 'dont', 'lie', 'lie', 'lie', 'lie', 'cant', 'denynynyny', 'beast', 'inside', 'sisiside', 'yeah', 'yeah', 'yeah', 'yooh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'like', 'animals', 'animals', 'like', 'animalsmals', 'like', 'animals', 'animals', 'like', 'animalsmals', 'oww', 'baby', 'im', 'preying', 'tonight', 'hunt', 'eat', 'alive', 'like', 'animals', 'animals', 'like', 'animalsmals', 'maybe', 'think', 'hide', 'smell', 'scent', 'miles', 'like', 'animals', 'animals', 'like', 'animalsmals', 'baby', 'im', 'dont', 'tell', 'lie', 'lie', 'lie', 'lie', 'cant', 'denynynyny', 'beast', 'inside', 'sisiside', 'yeah', 'yeah', 'yeah', 'girl', 'dont', 'lie', 'lie', 'lie', 'lie', 'cant', 'denynynyny', 'beast', 'inside', 'sisiside', 'yeah', 'yeah', 'yeah']]"
1,maroon 5,https://genius.com/Maroon-5-one-more-night-lyrics,one more night,[[]]
2,sean paul,https://genius.com/Sean-paul-temperature-lyrics,temperature,"[['gyal', 'dem', 'schillaci', 'sean', 'paul', 'give', 'give', 'give', 'girls', 'five', 'million', 'forty', 'naughty', 'shorty', 'baby', 'girl', 'girls', 'girls', 'sean', 'paul', 'say', 'well', 'woman', 'way', 'time', 'cold', 'wan', 'na', 'keepin', 'warm', 'got', 'right', 'temperature', 'fi', 'shelter', 'storm', 'oh', 'lord', 'gyal', 'got', 'right', 'tactics', 'turn', 'girl', 'wan', 'na', 'papa', 'mom', 'oh', 'oh', 'make', 'see', 'di', 'gyal', 'dem', 'breakout', 'pon', 'di', 'floor', 'dont', 'want', 'worthless', 'performer', 'dont', 'want', 'man', 'weh', 'cant', 'turn', 'gyal', 'make', 'see', 'hand', 'dem', 'ya', 'cant', 'tan', 'pon', 'long', 'nah', 'eat', 'yam', 'steam', 'fish', 'green', 'banana', 'jamaica', 'give', 'hot', 'like', 'sauna', 'well', 'woman', 'way', 'time', 'cold', 'wan', 'na', 'keepin', 'warm', 'got', 'right', 'temperature', 'fi', 'shelter', 'storm', 'oh', 'lord', 'gyal', 'got', 'right', 'tactics', 'turn', 'girl', 'wan', 'na', 'papa', 'mom', 'oh', 'oh', 'bumper', 'exposed', 'gyal', 'ya', 'got', 'chest', 'wasters', 'cause', 'gyal', 'ya', 'impress', 'ya', 'diss', 'ya', 'fi', 'test', 'cause', 'got', 'remedy', 'fi', 'make', 'ya', 'destress', 'mi', 'haffi', 'flaunt', 'become', 'god', 'bless', 'girl', 'want', 'haffi', 'confess', 'lie', 'weh', 'need', 'set', 'speed', 'haffi', 'test', 'mattress', 'well', 'woman', 'way', 'time', 'cold', 'wan', 'na', 'keepin', 'warm', 'got', 'right', 'temperature', 'fi', 'shelter', 'storm', 'oh', 'lord', 'gyal', 'got', 'right', 'tactics', 'turn', 'girl', 'wan', 'na', 'papa', 'mom', 'oh', 'oh', 'gyal', 'dont', 'say', 'crazy', 'strange', 'love', 'brigitte', 'flavor', 'show', 'time', 'fi', 'make', 'baby', 'stop', 'gwaan', 'like', 'actin', 'shady', 'yo', 'woman', 'dont', 'play', 'cause', 'fred', 'sanford', 'grady', 'yo', 'lovin', 'way', 'go', 'lovin', 'way', 'go', 'well', 'woman', 'way', 'time', 'cold', 'wan', 'na', 'keepin', 'warm', 'got', 'right', 'temperature', 'fi', 'shelter', 'storm', 'oh', 'lord', 'gyal', 'got', 'right', 'tactics', 'turn', 'girl', 'wan', 'na', 'papa', 'mom', 'oh', 'oh', 'roll', 'player', 'like', 'bredda', 'like', 'gyal', 'need', 'talk', 'right', 'park', 'right', 'keep', 'undercover', 'love', 'fit', 'inna', 'blouse', 'fat', 'inna', 'jeans', 'mi', 'wann', 'discover', 'everything', 'bout', 'baby', 'girl', 'cant', 'hear', 'utter', 'well', 'woman', 'way', 'time', 'cold', 'wan', 'na', 'keepin', 'warm', 'got', 'right', 'temperature', 'fi', 'shelter', 'storm', 'oh', 'lord', 'gyal', 'got', 'right', 'tactics', 'turn', 'girl', 'wan', 'na', 'papa', 'mom', 'oh', 'oh', 'make', 'see', 'di', 'gyal', 'dem', 'breakout', 'pon', 'di', 'floor', 'dont', 'want', 'worthless', 'performer', 'dont', 'want', 'man', 'weh', 'cant', 'turn', 'gyal', 'make', 'see', 'hand', 'dem', 'ya', 'cant', 'tan', 'pon', 'long', 'nah', 'eat', 'yam', 'steam', 'fish', 'green', 'banana', 'jamaica', 'give', 'hot', 'like', 'sauna', 'well', 'woman', 'way', 'time', 'cold', 'wan', 'na', 'keepin', 'warm', 'got', 'right', 'temperature', 'fi', 'shelter', 'storm', 'oh', 'lord', 'gyal', 'got', 'right', 'tactics', 'turn', 'girl', 'wan', 'na', 'papa', 'mom', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh']]"
3,drake,https://genius.com/Drake-headlines-lyrics,Headlines,"[['might', 'strung', 'compliments', 'overdosed', 'confidence', 'started', 'give', 'fuck', 'stopped', 'fearin', 'consequence', 'drinkin', 'every', 'night', 'drink', 'accomplishments', 'faded', 'way', 'long', 'im', 'floatin', 'consciousness', 'sayin', 'im', 'back', 'id', 'agree', 'take', 'time', 'shit', 'still', 'believe', 'someone', 'tell', 'fell', 'ooh', 'needed', 'want', 'see', 'pick', 'back', 'well', 'whered', 'leave', 'know', 'exaggerated', 'things', 'got', 'like', 'tuck', 'napkin', 'shirt', '‘', 'cause', 'im', 'mobbin', 'like', 'know', 'good', 'well', 'dont', 'want', 'problem', 'like', 'gon', 'make', 'someone', 'around', 'catch', 'body', 'like', 'dont', 'please', 'dont', '‘', 'cause', 'one', 'us', 'goes', 'go', 'drizzy', 'got', 'money', 'drizzy', 'gon', 'na', 'pay', 'brothers', 'aint', 'even', 'got', 'ta', 'say', 'thats', 'something', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'yeah', 'know', 'yeah', 'real', 'rise', 'fuck', 'guys', 'even', 'gave', 'em', 'chance', 'decide', 'something', 'know', 'know', 'know', 'know', 'yeah', 'yellin', 'money', 'everything', 'money', 'mind', 'wan', 'na', 'ask', 'got', 'empty', 'tell', 'apologize', 'happened', 'time', 'says', 'miss', 'old', 'drake', 'girl', 'dont', 'tempt', 'dont', 'get', 'theyll', 'new', 'shit', 'got', 'overdue', 'better', 'supposed', 'im', 'like', 'got', 'ta', 'still', 'cant', 'deny', 'fact', 'true', 'listening', 'expressin', 'feelings', 'soap', 'opera', 'rappers', 'niggas', 'sound', 'like', 'children', 'thats', 'thinkin', 'bout', 'come', 'make', 'killin', 'guess', 'really', 'millions', 'know', 'aint', 'even', 'got', 'like', 'gon', 'hype', 'make', 'catch', 'body', 'like', '‘', 'cause', 'live', 'isnt', 'hobby', 'like', 'get', 'shit', 'play', 'aint', 'even', 'got', 'ta', 'say', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'yeah', 'know', 'yeah', 'real', 'rise', 'fuck', 'guys', 'even', 'gave', 'em', 'chance', 'decide', 'something', 'know', 'know', 'know', 'know', 'yelling', 'money', 'everything', 'money', 'mind', 'mind', 'mindmind', 'tell', 'apologize', 'happened', 'time', 'time', 'timetime', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'yeah…', 'heard', 'would', 'rather', 'hear', 'memories', 'enemies', 'rather', 'hear', 'rather', 'hear', 'got', 'much', 'cost', 'rather', 'hear', 'findin', 'lost', 'rather', 'make', 'open', 'letter', 'family', 'struggle', 'takin', 'forever', 'hearts', 'youve', 'broken', 'ties', 'youve', 'severed', 'doubt', 'mind', 'thatll', 'make', 'feel', 'better']]"
4,junior boys,https://genius.com/Junior-boys-banana-ripple-lyrics,Banana Ripple,[[]]
5,junior boys,https://genius.com/Junior-boys-caught-in-a-wave-lyrics,Caught In A Wave,"[['wave', 'im', 'slowly', 'roll', 'flipped', 'earth']]"
6,junior boys,https://genius.com/Junior-boys-first-time-lyrics,First Time,[[]]
7,beach house,https://genius.com/Beach-house-days-of-candy-lyrics,Days of Candy,"[['one', 'could', 'find', 'things', 'loved', 'know', 'hopewell', 'road', 'days', 'candy', 'live', 'mind', 'violet', 'lines', 'white', 'fenced', 'miles', 'across', 'eyes', 'world', 'inside', 'photograph', 'natural', 'one', 'rising', 'sun', 'live', 'mind', 'like', 'gone', 'like', 'gone', 'like', 'know', 'comes', 'soon', 'universe', 'riding', 'hi', 'know', 'little', 'bit', 'keep', 'close', 'know', 'comes', 'soon', 'universe', 'riding', 'know', 'comes', 'soon', 'know', 'stays', 'nobody', 'want', 'know', 'universe', 'riding']]"
8,beach house,https://genius.com/Beach-house-wild-lyrics,Wild,"[['mother', 'said', 'would', 'get', 'trouble', 'father', 'wont', 'come', 'home', 'cause', 'seeing', 'double', 'endless', 'green', 'eyes', 'misleading', 'thats', 'car', 'pulls', 'hood', 'black', 'gleaming', 'start', 'smile', 'earth', 'wild', 'youve', 'got', 'time', 'wild', 'ways', 'making', 'heartless', 'say', 'go', 'pretending', 'wild', 'ways', 'making', 'heartless', 'say', 'go', 'go', 'pretending', 'one', 'chance', 'fall', 'behind', 'lines', 'would', 'let', 'believe', 'past', 'catch', 'start', 'smile', 'earth', 'wild', 'youve', 'got', 'time', 'wild', 'ways', 'making', 'heartless', 'say', 'go', 'pretending', 'wild', 'ways', 'making', 'heartless', 'say', 'go', 'go', 'pretending', 'wild', 'ways', 'go', 'pretending']]"
9,beach house,https://genius.com/Beach-house-10-37-lyrics,10:37,[[]]
